Parameter;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30;Design 31;Design 32;Design 33;Design 34;Design 35;Design 36;Design 37;Design 38;Design 39;Design 40;Design 41;Design 42;Design 43;Design 44;Design 45;Design 46;Design 47;Design 48;Design 49;Design 50;Design 51;Design 52;Design 53;Design 54
H cruise;9000;9000;9000;9000;9000;9000;9000;9000;9000;10000;10000;10000;10000;10000;10000;10000;10000;10000;11000;11000;11000;11000;11000;11000;11000;11000;11000;9000;9000;9000;9000;9000;9000;9000;9000;9000;10000;10000;10000;10000;10000;10000;10000;10000;10000;11000;11000;11000;11000;11000;11000;11000;11000;11000
M cruise;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8;0.75;0.75;0.75;0.775;0.775;0.775;0.8;0.8;0.8
Number of engines;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Engine mass;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050;6050
engine length;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
inlet area;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
spoilers/speedbrakes;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2 wing mounted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4 wing mounted;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
lg not wing mounted;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
strutted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fowler flaps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
variable incidence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fin mounted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lg fuselage mounted;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
turbojet/ low bypass;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
buried engines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ducts flat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
piston engines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fuel tanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
starting system;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
engine mounting;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
afterburner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oil choice ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
hydro choice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A_h;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61;4.61
sweep_h;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665;0.570722665
tap_h;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
A_v;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73
sweep_v ;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871;0.767944871
tap_v;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Npas_below;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300
